trial,rep,variety,yield,grain_protein,test_weight
SWIdahoCereals_H_W_PAR_2017,3,XA4104,118.0883492,NA,64.9
SWIdahoCereals_H_W_PAR_2017,4,XA4104,104.823883,NA,63.5
SWIdahoCereals_H_W_PAR_2017,1,Whetstone,82.94042562,NA,61.9
SWIdahoCereals_H_W_PAR_2017,2,Whetstone,117.9922914,NA,65.7
SWIdahoCereals_H_W_PAR_2017,3,Whetstone,132.5016545,NA,63.9
SWIdahoCereals_H_W_PAR_2017,4,Whetstone,107.8347661,NA,63.2
SWIdahoCereals_H_W_PAR_2017,1,SY Touchstone,109.5411273,NA,63.4
SWIdahoCereals_H_W_PAR_2017,2,SY Touchstone,101.0595597,NA,62.6
SWIdahoCereals_H_W_PAR_2017,3,SY Touchstone,123.0580705,NA,61.8
SWIdahoCereals_H_W_PAR_2017,4,SY Touchstone,125.2506985,NA,62.1
SWIdahoCereals_H_W_PAR_2017,1,SY Clearstone 2CL,111.9684184,NA,62.1
SWIdahoCereals_H_W_PAR_2017,2,SY Clearstone 2CL,99.3693166,NA,63.4
SWIdahoCereals_H_W_PAR_2017,3,SY Clearstone 2CL,141.196149,NA,62.9
SWIdahoCereals_H_W_PAR_2017,4,SY Clearstone 2CL,130.6387198,NA,61.6
SWIdahoCereals_H_W_PAR_2017,1,WA8268,110.5171207,NA,58.7
SWIdahoCereals_H_W_PAR_2017,2,WA8268,84.43750836,NA,63.9
SWIdahoCereals_H_W_PAR_2017,3,WA8268,121.6045461,NA,64.5
SWIdahoCereals_H_W_PAR_2017,4,WA8268,132.054938,NA,58.7
SWIdahoCereals_H_W_PAR_2017,1,WA8269,78.00410523,NA,62
SWIdahoCereals_H_W_PAR_2017,2,WA8269,97.95424608,NA,64.9
SWIdahoCereals_H_W_PAR_2017,3,WA8269,199.2345434,NA,59.8
SWIdahoCereals_H_W_PAR_2017,4,WA8269,142.0245101,NA,58.1
SWIdahoCereals_H_W_PAR_2017,1,Brawl CL+,109.9703725,NA,64.1
SWIdahoCereals_H_W_PAR_2017,2,Brawl CL+,93.23915999,NA,62.1
SWIdahoCereals_H_W_PAR_2017,3,Brawl CL+,79.08749558,NA,64.3
SWIdahoCereals_H_W_PAR_2017,4,Brawl CL+,124.5278844,NA,65.1
SWIdahoCereals_H_W_PAR_2017,1,Denali,114.0722169,NA,63.2
SWIdahoCereals_H_W_PAR_2017,2,Denali,73.48510851,NA,64.4
SWIdahoCereals_H_W_PAR_2017,3,Denali,149.5332873,NA,64.9
SWIdahoCereals_H_W_PAR_2017,4,Denali,148.0554401,NA,63.2
SWIdahoCereals_H_W_PAR_2017,1,CO12D1770,114.8644364,NA,63.2
SWIdahoCereals_H_W_PAR_2017,2,CO12D1770,102.4505301,NA,64
SWIdahoCereals_H_W_PAR_2017,3,CO12D1770,126.3281794,NA,64.2
SWIdahoCereals_H_W_PAR_2017,4,CO12D1770,141.0885636,NA,63.8
SWIdahoCereals_H_W_PAR_2017,1,OR2130021R,75.61619299,NA,58.7
SWIdahoCereals_H_W_PAR_2017,2,OR2130021R,121.6685047,NA,63
SWIdahoCereals_H_W_PAR_2017,3,OR2130021R,143.1369165,NA,62.3
SWIdahoCereals_H_W_PAR_2017,4,OR2130021R,186.7821146,NA,65
SWIdahoCereals_H_W_PAR_2017,1,IDO1506,103.5697195,NA,63.6
SWIdahoCereals_H_W_PAR_2017,2,IDO1506,102.0604754,NA,63
SWIdahoCereals_H_W_PAR_2017,3,IDO1506,127.9572902,NA,63.2
SWIdahoCereals_H_W_PAR_2017,4,IDO1506,124.0094671,NA,60.3
SWIdahoCereals_H_W_PAR_2017,1,CO12D2011,106.9775945,NA,63.4
SWIdahoCereals_H_W_PAR_2017,2,CO12D2011,99.73271912,NA,61.5
SWIdahoCereals_H_W_PAR_2017,3,CO12D2011,155.0078943,NA,67.2
SWIdahoCereals_H_W_PAR_2017,4,CO12D2011,144.701452,NA,65.4
SWIdahoCereals_H_W_PAR_2017,1,OR2110679,124.4078122,NA,59.2
SWIdahoCereals_H_W_PAR_2017,2,OR2110679,116.9969597,NA,63.9
SWIdahoCereals_H_W_PAR_2017,3,OR2110679,132.2114943,NA,62.9
SWIdahoCereals_H_W_PAR_2017,4,OR2110679,115.4403547,NA,63.2
SWIdahoCereals_H_W_PAR_2017,1,OR2111025,108.9056867,NA,60.3
SWIdahoCereals_H_W_PAR_2017,2,OR2111025,73.14909477,NA,63.4
SWIdahoCereals_H_W_PAR_2017,3,OR2111025,153.1450624,NA,62.2
SWIdahoCereals_H_W_PAR_2017,4,OR2111025,125.2694715,NA,62.6
SWIdahoCereals_H_W_PAR_2017,1,OR2120276H,80.90947552,NA,61.1
SWIdahoCereals_H_W_PAR_2017,2,OR2120276H,104.7480028,NA,60.9
SWIdahoCereals_H_W_PAR_2017,3,OR2120276H,156.1160699,NA,64.9
SWIdahoCereals_H_W_PAR_2017,4,OR2120276H,136.0817072,NA,64
SWIdahoCereals_H_W_PAR_2017,1,OR2130118H,104.7300177,NA,63.1
SWIdahoCereals_H_W_PAR_2017,2,OR2130118H,101.6133306,NA,58.9
